file,start_time,end_time,KAAM_song
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/I8-2-additional_11450/Data/SMM11450_20240505_092300.wav,75.0,78.0,6.7384286
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/I8-2-additional_11450/Data/SMM11450_20240515_161800.wav,39.0,42.0,10.881031
/media/kiwi/datasets/finalized/kaua2024a/AKEK_grid/I8-2-additional_11450/Data/SMM11450_20240525_091500.wav,156.0,159.0,7.5418143
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HH-01_14288/Data/SMM14288_20240605_111400.wav,195.0,198.0,9.433011
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HH-01_14288/Data/SMM14288_20240607_111400.wav,111.0,114.0,13.105247
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HH-01_14288/Data/SMM14288_20240607_111400.wav,135.0,138.0,14.438344
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HH-01_14288/Data/SMM14288_20240607_171400.wav,30.0,33.0,9.75725
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-06_14268/Data/SMM14268_20240522_091600.wav,177.0,180.0,9.088574
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-06_14268/Data/SMM14268_20240527_091500.wav,60.0,63.0,10.993706
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-06_14268/Data/SMM14268_20240527_111500.wav,192.0,195.0,6.8809705
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-06_14268/Data/SMM14268_20240527_171500.wav,228.0,231.0,9.243991
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-14_14282/Data/SMM14282_20240422_133200.wav,201.0,204.0,8.265114
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-16_14369/Data/SMM14369_20240430_142700.wav,3.0,6.0,7.1831717
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-16_14369/Data/SMM14369_20240509_142100.wav,27.0,30.0,10.819196
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-16_14369/Data/SMM14369_20240509_152100.wav,171.0,174.0,4.7582765
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-16_14369/Data/SMM14369_20240515_131800.wav,27.0,30.0,7.8443294
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-18_14266/Data/SMM14266_20240410_154200.wav,3.0,6.0,4.3914485
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-18_14266/Data/SMM14266_20240410_154200.wav,9.0,12.0,4.613726
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-18_14266/Data/SMM14266_20240521_061600.wav,180.0,183.0,6.7656255
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-18_14266/Data/SMM14266_20240521_061600.wav,186.0,189.0,8.987502
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-20_14379/Data/SMM14379_20240515_161800.wav,174.0,177.0,2.0124264
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-20_14379/Data/SMM14379_20240530_131400.wav,0.0,3.0,4.6367316
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-21_14351/Data/SMM14351_20240420_123400.wav,225.0,228.0,8.914006
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-21_14351/Data/SMM14351_20240422_133200.wav,117.0,120.0,6.1918654
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-21_14351/Data/SMM14351_20240428_092800.wav,129.0,132.0,6.2581677
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-21_14351/Data/SMM14351_20240502_102500.wav,201.0,204.0,6.7671013
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-21_14351/Data/SMM14351_20240502_102500.wav,207.0,210.0,8.186107
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-HPK-22_14269/Data/SMM14269_20240421_153300.wav,144.0,147.0,10.094682
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-MOH-06_14249/Data/SMM14249_20240502_062500.wav,102.0,105.0,11.361521
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-MOH-06_14249/Data/SMM14249_20240502_062500.wav,156.0,159.0,8.4940195
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-MOH-06_14249/Data/SMM14249_20240522_061600.wav,90.0,93.0,8.332232
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-MOH-06_14249/Data/SMM14249_20240522_091600.wav,15.0,18.0,9.509808
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-MOH-06_14249/Data/SMM14249_20240522_091600.wav,78.0,81.0,10.181294
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-UUK-10_11859/Data/SMM11859_20240517_181800.wav,114.0,117.0,2.0807111
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-UUK-10_11859/Data/SMM11859_20240521_091600.wav,15.0,18.0,0.2924142
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-UUK-10_11859/Data/SMM11859_20240521_091600.wav,45.0,48.0,4.2876987
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-UUK-10_11859/Data/SMM11859_20240521_091600.wav,75.0,78.0,5.178265
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-UUK-12_11890/Data/SMM11890_20240512_082000.wav,168.0,171.0,2.216383
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-UUK-12_11890/Data/SMM11890_20240513_121900.wav,6.0,9.0,3.4504397
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-UUK-12_11890/Data/SMM11890_20240513_121900.wav,60.0,63.0,5.8289676
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-UUK-12_11890/Data/SMM11890_20240513_121900.wav,108.0,111.0,6.2212286
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-UUK-12_11890/Data/SMM11890_20240513_121900.wav,147.0,150.0,0.43223077
/media/kiwi/datasets/finalized/kaua2024a/PUAI_OS/OS-UUK-16_11863/Data/SMM11863_20240510_172100.wav,42.0,45.0,8.106582
